repetition,batch_index,input_start,input_end,cumulative_input_count,batch_comparable_count,cumulative_comparable_count,algorithm,batch_runtime_ms
3,6,1001,1200,1200,193,1171,NTable_SharedReuse,5.505428
3,6,1001,1200,1200,193,1171,Pratt,6.088556
3,6,1001,1200,1200,193,1171,NTable_Fresh,10.950024
3,7,1201,1400,1400,195,1366,Pratt,6.155367
3,7,1201,1400,1400,195,1366,NTable_Fresh,10.050701
3,7,1201,1400,1400,195,1366,NTable_SharedReuse,5.216333
3,8,1401,1600,1600,198,1564,NTable_Fresh,10.300577
3,8,1401,1600,1600,198,1564,NTable_SharedReuse,5.42017
3,8,1401,1600,1600,198,1564,Pratt,6.001836
3,9,1601,1800,1800,195,1759,NTable_SharedReuse,4.850672
3,9,1601,1800,1800,195,1759,Pratt,5.279919
3,9,1601,1800,1800,195,1759,NTable_Fresh,8.942252
3,10,1801,2000,2000,198,1957,Pratt,6.687608
3,10,1801,2000,2000,198,1957,NTable_Fresh,11.104988
3,10,1801,2000,2000,198,1957,NTable_SharedReuse,7.156513
3,11,2001,2200,2200,193,2150,NTable_Fresh,11.363847
3,11,2001,2200,2200,193,2150,NTable_SharedReuse,5.743336
3,11,2001,2200,2200,193,2150,Pratt,6.274616
3,12,2201,2400,2400,195,2345,NTable_SharedReuse,6.215117
3,12,2201,2400,2400,195,2345,Pratt,6.713847
3,12,2201,2400,2400,195,2345,NTable_Fresh,11.509236
3,13,2401,2600,2600,195,2540,Pratt,5.415683
3,13,2401,2600,2600,195,2540,NTable_Fresh,9.057195
3,13,2401,2600,2600,195,2540,NTable_SharedReuse,4.792195
3,14,2601,2800,2800,193,2733,NTable_Fresh,8.928261
3,14,2601,2800,2800,193,2733,NTable_SharedReuse,4.787087
3,14,2601,2800,2800,193,2733,Pratt,5.205566
3,15,2801,3000,3000,197,2930,NTable_SharedReuse,4.923252
3,15,2801,3000,3000,197,2930,Pratt,5.412188
3,15,2801,3000,3000,197,2930,NTable_Fresh,9.416266
4,1,1,200,200,195,195,NTable_Fresh,11.905192
4,1,1,200,200,195,195,NTable_SharedReuse,9.152609
4,1,1,200,200,195,195,Pratt,7.056924
4,2,201,400,400,196,391,NTable_SharedReuse,6.111881
4,2,201,400,400,196,391,Pratt,5.930779
4,2,201,400,400,196,391,NTable_Fresh,10.247237
4,3,401,600,600,197,588,Pratt,6.170108
4,3,401,600,600,197,588,NTable_Fresh,10.309401
4,3,401,600,600,197,588,NTable_SharedReuse,5.383756
4,4,601,800,800,195,783,NTable_Fresh,10.392806
4,4,601,800,800,195,783,NTable_SharedReuse,5.634663
4,4,601,800,800,195,783,Pratt,6.102777
4,5,801,1000,1000,195,978,NTable_SharedReuse,6.171381
4,5,801,1000,1000,195,978,Pratt,6.906607
4,5,801,1000,1000,195,978,NTable_Fresh,12.167358
4,6,1001,1200,1200,193,1171,Pratt,6.430822
4,6,1001,1200,1200,193,1171,NTable_Fresh,10.702012
4,6,1001,1200,1200,193,1171,NTable_SharedReuse,5.628163
4,7,1201,1400,1400,195,1366,NTable_Fresh,10.006544
4,7,1201,1400,1400,195,1366,NTable_SharedReuse,5.215271
4,7,1201,1400,1400,195,1366,Pratt,5.796125
4,8,1401,1600,1600,198,1564,NTable_SharedReuse,5.417175
4,8,1401,1600,1600,198,1564,Pratt,6.085261
4,8,1401,1600,1600,198,1564,NTable_Fresh,10.442631
4,9,1601,1800,1800,195,1759,Pratt,5.61321
4,9,1601,1800,1800,195,1759,NTable_Fresh,9.231478
4,9,1601,1800,1800,195,1759,NTable_SharedReuse,4.959186
